play_id,committing,disadvantaged,decision,committing_position,disadvantaged_position
11505,Joe Ingles,Lou Williams,CNC,F-G,G
11506,Rudy Gobert,Julius Randle,CC,C,F-C
11507,Luol Deng,Rudy Gobert,CC,F,C
11508,Gordon Hayward,Luol Deng,CNC,F,F
11509,Dwight Howard,Derrick Rose,CNC,C-F,G
11510,Paul Millsap,Kristaps Porzingis,CNC,F,F-C
11511,Joakim Noah,Dennis Schroder,CNC,F-C,G
11512,Brandon Jennings,Kent Bazemore,CNC,G,G-F
11513,Justin Holiday,Kyle Korver,CNC,F-G,G-F
11515,Dwight Howard,Kristaps Porzingis,CNC,C-F,F-C
11516,Derrick Rose,Dennis Schroder,CNC,G,G
11518,Joakim Noah,Dennis Schroder,INC,F-C,G
11519,Dennis Schroder,Derrick Rose,CC,G,G
11520,Dennis Schroder,Kristaps Porzingis,CNC,G,F-C
11521,Kristaps Porzingis,Dwight Howard,CC,F-C,C-F
11522,Kristaps Porzingis,Dwight Howard,CNC,F-C,C-F
11523,Dwight Howard,Derrick Rose,CNC,C-F,G
11524,Paul Millsap,Joakim Noah,CC,F,F-C
11526,Dennis Schroder,Derrick Rose,CNC,G,G
11527,Brandon Jennings,Dennis Schroder,CC,G,G
11528,Thabo Sefolosha,Kristaps Porzingis,CC,F-G,F-C
11529,Lance Thomas,Paul Millsap,CC,F,F
11530,Nikola Mirotic,Randy Foye,CC,F,G
11532,Taj Gibson,Bojan Bogdanovic,CNC,F,F
11533,Brook Lopez,Jimmy Butler,CC,C,F
11534,Rajon Rondo,Sean Kilpatrick,INC,G,G
11535,Trevor Booker,Michael Carter-Williams,CNC,F,G
11537,Robin Lopez,Brook Lopez,CNC,C,C
11538,Bojan Bogdanovic,Jimmy Butler,CNC,F,F
11539,Trevor Booker,Jimmy Butler,CNC,F,F
11540,Robin Lopez,Brook Lopez,CNC,C,C
11542,Brook Lopez,Michael Carter-Williams,CNC,C,G
11543,Brook Lopez,Michael Carter-Williams,CNC,C,G
11544,Robin Lopez,Brook Lopez,CNC,C,C
11546,Markieff Morris,Paul George,CC,F,F
11547,Myles Turner,Kelly Oubre,CNC,C-F,F-G
11548,Paul George,John Wall,CC,F,G
11549,Kelly Oubre,Paul George,IC,F-G,F
11551,Myles Turner,John Wall,CNC,C-F,G
11552,Jeff Teague,John Wall,CC,G,G
11553,Jeff Teague,John Wall,CC,G,G
11554,Myles Turner,John Wall,IC,C-F,G
11556,Cody Zeller,Justise Winslow,CNC,F-C,F-G
11557,Cody Zeller,Tyler Johnson,CNC,F-C,G
11559,Cody Zeller,Tyler Johnson,CNC,F-C,G
11560,Cody Zeller,Tyler Johnson,CNC,F-C,G
11561,Tyler Johnson,Cody Zeller,CNC,G,F-C
11562,Cody Zeller,Tyler Johnson,CNC,F-C,G
11563,Hassan Whiteside,Nicolas Batum,INC,C,G-F
11564,Hassan Whiteside,Kemba Walker,CNC,C,G
11566,Al Horford,Iman Shumpert,CNC,C-F,G
11568,Tristan Thompson,Avery Bradley,INC,C-F,G
11569,Al Horford,Kyrie Irving,CNC,C-F,G
11570,LeBron James,Isaiah Thomas,CNC,F,G
11571,Kyrie Irving,Marcus Smart,CNC,G,G
11572,LeBron James,Isaiah Thomas,CC,F,G
11574,Tristan Thompson,Marcus Smart,CNC,C-F,G
11575,Al Horford,LeBron James,CC,C-F,F
11576,Marcus Smart,LeBron James,CC,G,F
11577,Tristan Thompson,Jae Crowder,CNC,C-F,F
11578,Avery Bradley,Richard Jefferson,CC,G,F
11579,LeBron James,Al Horford,CNC,F,C-F
11580,Al Horford,Kevin Love,CC,C-F,F-C
11581,Hassan Whiteside,Isaiah Thomas,CNC,C,G
11582,Justise Winslow,Isaiah Thomas,CNC,F-G,G
11584,Jae Crowder,Hassan Whiteside,CNC,F,C
11585,Hassan Whiteside,Al Horford,INC,C,C-F
11587,Jae Crowder,Tyler Johnson,CNC,F,G
11588,Josh Richardson,Isaiah Thomas,CC,G,G
11589,James Johnson,Isaiah Thomas,CNC,F,G
11590,James Johnson,Isaiah Thomas,CNC,F,G
11591,Marcus Smart,Tyler Johnson,CNC,G,G
11592,Justise Winslow,Al Horford,CC,F-G,C-F
11593,Josh Richardson,Isaiah Thomas,CNC,G,G
11594,James Johnson,Isaiah Thomas,CC,F,G
11595,Tyler Johnson,Marcus Smart,CC,G,G
11597,Joel Embiid,Danilo Gallinari,CC,C-F,F
11598,Nikola Jokic,Robert Covington,CNC,C,F
11599,Robert Covington,Nikola Jokic,CC,F,C
11600,Joel Embiid,Gary Harris,CNC,C-F,G
11601,Wilson Chandler,Joel Embiid,CC,F,C-F
11602,Dario Saric,Danilo Gallinari,CNC,F-C,F
11603,Joel Embiid,Nikola Jokic,CNC,C-F,C
11605,Gary Harris,Joel Embiid,CC,G,C-F
11606,Robert Covington,Nikola Jokic,CNC,F,C
11609,Robert Covington,Danilo Gallinari,CNC,F,F
11610,Robert Covington,Danilo Gallinari,CNC,F,F
11611,Emmanuel Mudiay,Robert Covington,CC,G,F
11612,T.J. McConnell,Emmanuel Mudiay,CC,G,G
11613,Nikola Jokic,Joel Embiid,CC,C,C-F
11614,Joel Embiid,Nikola Jokic,CC,C-F,C
11616,Dwyane Wade,Thaddeus Young,CC,G,F
11617,Thaddeus Young,Jimmy Butler,CNC,F,F
11618,Dwyane Wade,Glenn Robinson,CNC,G,F
11619,Michael Carter-Williams,Thaddeus Young,CC,G,F
11622,Paul George,Jimmy Butler,CNC,F,F
11623,Jimmy Butler,Paul George,CC,F,F
11624,Thaddeus Young,Dwyane Wade,CNC,F,G
11625,Shelvin Mack,Eric Bledsoe,CNC,G,G
11627,Rudy Gobert,Eric Bledsoe,INC,C,G
11628,Joe Ingles,Devin Booker,CNC,F-G,G
11629,Marquese Chriss,Gordon Hayward,CNC,F,F
11630,Tyson Chandler,Gordon Hayward,CNC,C,F
11632,Trey Lyles,Eric Bledsoe,CNC,F,G
11633,Joe Ingles,Devin Booker,CNC,F-G,G
11634,Gordon Hayward,Devin Booker,CC,F,G
11635,Rudy Gobert,Devin Booker,CC,C,G
11636,Tyson Chandler,Gordon Hayward,INC,C,F
11638,Joe Ingles,Devin Booker,CNC,F-G,G
11639,Devin Booker,Gordon Hayward,CC,G,F
11640,Danny Green,Paul Millsap,CNC,G,F
11642,Jonathon Simmons,Dennis Schroder,CNC,F,G
11643,Paul Millsap,Tony Parker,CNC,F,G
11644,Dwight Howard,LaMarcus Aldridge,INC,C-F,C-F
11646,Paul Millsap,Danny Green,CNC,F,G
11648,Paul Millsap,LaMarcus Aldridge,CNC,F,C-F
11649,Dwight Howard,Pau Gasol,CNC,C-F,C-F
11650,Danny Green,Dennis Schroder,CNC,G,G
11651,Dwight Howard,Pau Gasol,CNC,C-F,C-F
11652,Paul Millsap,Danny Green,CC,F,G
11653,Danny Green,Paul Millsap,CNC,G,F
11654,Kent Bazemore,Kawhi Leonard,CC,G-F,F
11655,Manu Ginobili,Paul Millsap,INC,G,F
11656,Kawhi Leonard,Tim Hardaway Jr.,CNC,F,G-F
11657,Thabo Sefolosha,Kawhi Leonard,CNC,F-G,F
11658,Dwight Howard,LaMarcus Aldridge,CNC,C-F,C-F
11660,Dwight Howard,Pau Gasol,CC,C-F,C-F
11661,Tony Parker,Dennis Schroder,CNC,G,G
11662,Kawhi Leonard,Kyle Korver,CNC,F,G-F
11663,Tim Hardaway Jr.,LaMarcus Aldridge,CC,G-F,C-F
11664,LaMarcus Aldridge,Dennis Schroder,CNC,C-F,G
11665,Dwight Howard,Pau Gasol,CC,C-F,C-F
11666,Danny Green,Dennis Schroder,CNC,G,G
11668,Danny Green,Tim Hardaway Jr.,CC,G,G-F
11669,Kawhi Leonard,Paul Millsap,CNC,F,F
11671,Danny Green,Dennis Schroder,CC,G,G
11672,Paul Millsap,Kawhi Leonard,CNC,F,F
11673,Mason Plumlee,Zach LaVine,CNC,F-C,G-F
11674,Kris Dunn,CJ McCollum,CNC,G,G
11675,Kris Dunn,CJ McCollum,CNC,G,G
11677,Kris Dunn,CJ McCollum,CNC,G,G
11678,Karl-Anthony Towns,Maurice Harkless,CNC,C-F,F-G
